Date,Price,Open,High,Low,Vol.,Change %
"Dec 21, 2021",1791.10,1794.30,1803.60,1787.60,4.59K,-0.32%
"Dec 20, 2021",1796.90,1802.40,1805.50,1791.40,3.80K,-0.58%
"Dec 17, 2021",1807.30,1803.70,1818.00,1799.30,8.37K,0.37%
"Dec 16, 2021",1800.70,1781.20,1803.10,1778.40,7.25K,1.91%
"Dec 15, 2021",1766.90,1774.30,1783.30,1755.40,1.84K,-0.44%
"Dec 14, 2021",1774.70,1790.00,1791.40,1768.60,6.65K,-0.89%
"Dec 13, 2021",1790.60,1786.60,1794.20,1784.60,5.02K,0.20%
"Dec 10, 2021",1787.00,1779.10,1793.10,1772.90,6.46K,0.46%
"Dec 09, 2021",1778.90,1786.40,1790.40,1775.40,5.16K,-0.49%
"Dec 08, 2021",1787.60,1788.10,1796.20,1782.60,2.70K,0.04%
"Dec 07, 2021",1786.80,1782.10,1791.20,1774.50,5.25K,0.30%
"Dec 06, 2021",1781.50,1790.00,1790.10,1778.70,2.89K,-0.24%
"Dec 03, 2021",1785.80,1772.50,1789.60,1768.50,6.77K,1.20%
"Dec 02, 2021",1764.70,1786.10,1786.90,1764.20,5.57K,-1.21%
"Dec 01, 2021",1786.30,1778.40,1796.20,1775.70,4.08K,0.45%
"Nov 30, 2021",1778.30,1788.80,1813.10,1773.20,3.42K,-0.49%
"Nov 29, 2021",1787.10,1792.40,1803.00,1784.00,3.17K,-0.16%
"Nov 26, 2021",1789.90,1791.30,1820.80,1785.30,6.66K,-0.14%
"Nov 25, 2021",1792.40,1789.80,1795.30,1787.75,-,0.20%
"Nov 24, 2021",1788.80,1793.90,1800.10,1782.40,4.60K,0.04%
"Nov 23, 2021",1788.10,1813.30,1816.40,1786.60,6.13K,-1.26%
"Nov 22, 2021",1811.00,1852.50,1853.70,1807.40,10.12K,-2.43%
"Nov 19, 2021",1856.10,1865.30,1872.10,1849.20,3.85K,-0.51%
"Nov 18, 2021",1865.70,1874.60,1875.80,1861.00,3.74K,-0.46%
"Nov 17, 2021",1874.40,1855.90,1874.60,1855.90,2.28K,0.87%
"Nov 16, 2021",1858.30,1868.40,1882.50,1855.50,3.77K,-0.67%
"Nov 15, 2021",1870.80,1875.60,1876.30,1862.90,11.81K,-0.07%
"Nov 12, 2021",1872.20,1867.30,1875.00,1851.90,1.98K,0.24%
"Nov 11, 2021",1867.70,1854.00,1872.10,1849.40,5.09K,0.85%
"Nov 10, 2021",1852.00,1837.20,1872.10,1826.80,8.35K,0.95%
"Nov 09, 2021",1834.50,1827.80,1838.40,1825.60,6.16K,0.15%
"Nov 08, 2021",1831.80,1823.00,1831.80,1818.00,4.62K,0.62%
"Nov 05, 2021",1820.60,1799.20,1823.00,1789.20,4.13K,1.31%
"Nov 04, 2021",1797.10,1781.90,1803.20,1774.60,3.73K,1.67%
"Nov 03, 2021",1767.50,1787.00,1789.20,1762.80,2.37K,-1.42%
"Nov 02, 2021",1793.00,1796.40,1801.10,1791.50,1.08K,-0.36%
"Nov 01, 2021",1799.50,1784.40,1801.00,1784.30,3.43K,0.67%
"Oct 29, 2021",1787.60,1804.80,1805.90,1776.20,0.98K,-1.04%
"Oct 28, 2021",1806.40,1800.60,1814.10,1797.20,2.32K,0.21%
"Oct 27, 2021",1802.60,1797.60,1804.00,1788.60,0.84K,0.31%
"Oct 26, 2021",1797.10,1810.60,1810.60,1788.00,0.73K,-0.73%
"Oct 25, 2021",1810.40,1798.70,1814.60,1798.70,0.95K,0.58%
"Oct 22, 2021",1800.00,1790.50,1818.60,1787.80,1.39K,0.82%
"Oct 21, 2021",1785.40,1785.80,1792.50,1780.40,0.46K,-0.17%
"Oct 20, 2021",1788.40,1776.30,1791.70,1775.70,2.19K,0.81%
"Oct 19, 2021",1774.10,1767.70,1789.40,1767.70,0.63K,0.27%
"Oct 18, 2021",1769.30,1771.00,1775.00,1763.90,1.24K,-0.15%
"Oct 15, 2021",1771.90,1800.70,1800.70,1770.10,0.98K,-1.64%
"Oct 14, 2021",1801.50,1797.00,1804.50,1793.10,0.91K,0.17%
"Oct 13, 2021",1798.50,1766.70,1800.10,1761.60,3.95K,2.02%
"Oct 12, 2021",1762.90,1755.20,1773.00,1755.20,3.26K,0.20%
"Oct 11, 2021",1759.40,1757.40,1764.20,1753.70,2.61K,-0.10%
"Oct 08, 2021",1761.10,1759.60,1785.50,1758.10,2.91K,-0.09%
"Oct 07, 2021",1762.70,1763.00,1769.90,1755.90,3.05K,-0.14%
"Oct 06, 2021",1765.10,1759.40,1768.80,1749.50,1.07K,0.05%
"Oct 05, 2021",1764.20,1769.00,1769.00,1752.70,1.43K,-0.36%
"Oct 04, 2021",1770.60,1764.50,1774.00,1752.00,0.75K,0.52%
"Oct 01, 2021",1761.50,1758.60,1766.00,1753.30,1.17K,0.10%
"Sep 30, 2021",1759.70,1732.90,1766.00,1727.70,3.44K,1.93%
"Sep 29, 2021",1726.30,1737.60,1749.20,1725.00,0.99K,-0.85%
"Sep 28, 2021",1741.10,1750.80,1754.20,1732.00,0.79K,-0.83%
"Sep 27, 2021",1755.60,1762.30,1762.30,1748.60,0.98K,0.01%
"Sep 24, 2021",1755.40,1753.00,1761.00,1745.50,0.84K,0.11%
"Sep 23, 2021",1753.40,1771.30,1780.20,1742.10,1.21K,-1.64%
"Sep 22, 2021",1782.70,1782.70,1791.20,1770.00,0.49K,0.04%
"Sep 21, 2021",1781.90,1770.20,1785.80,1765.70,0.64K,0.81%
"Sep 20, 2021",1767.50,1753.00,1771.00,1748.30,1.07K,0.72%
"Sep 17, 2021",1754.90,1757.40,1771.40,1751.00,2.34K,-0.31%
"Sep 16, 2021",1760.40,1799.00,1799.00,1750.00,0.66K,-2.12%
"Sep 15, 2021",1798.50,1806.30,1810.50,1796.00,0.39K,-0.68%
"Sep 14, 2021",1810.80,1800.00,1814.20,1786.60,1.16K,0.70%
"Sep 13, 2021",1798.30,1788.60,1803.00,1788.60,2.69K,0.13%
"Sep 10, 2021",1795.90,1807.00,1808.00,1795.60,0.84K,-0.44%
"Sep 09, 2021",1803.90,1794.10,1807.00,1789.60,1.48K,0.37%
"Sep 08, 2021",1797.30,1802.30,1807.30,1787.20,1.36K,-0.28%
"Sep 07, 2021",1802.30,1835.00,1835.00,1798.60,1.22K,-1.28%
"Sep 06, 2021",1825.65,1829.95,1830.65,1823.65,-,-0.24%
"Sep 05, 2021",1830.05,1832.20,1832.50,1829.65,-,-0.40%
"Sep 03, 2021",1837.40,1819.00,1840.40,1818.70,1.56K,1.22%
"Sep 02, 2021",1815.20,1817.90,1822.60,1811.10,1.88K,-0.26%
"Sep 01, 2021",1819.90,1820.80,1826.00,1816.00,1.09K,-0.12%
"Aug 31, 2021",1822.10,1817.00,1823.10,1808.00,0.40K,0.32%
"Aug 30, 2021",1816.20,1824.80,1827.60,1815.40,0.09K,-0.41%
"Aug 27, 2021",1823.60,1800.90,1825.20,1793.70,0.41K,1.35%
"Aug 26, 2021",1799.30,1792.30,1803.00,1787.20,0.47K,0.24%
"Aug 25, 2021",1795.00,1807.60,1807.60,1789.00,0.11K,-0.97%
"Aug 24, 2021",1812.50,1810.00,1813.60,1807.00,0.72K,0.12%
"Aug 23, 2021",1810.30,1783.70,1811.70,1783.70,0.75K,1.25%
"Aug 20, 2021",1788.00,1792.20,1793.90,1786.00,0.73K,0.05%
"Aug 19, 2021",1787.10,1789.10,1797.60,1779.00,0.69K,-0.07%
"Aug 18, 2021",1788.40,1793.90,1798.50,1783.90,0.71K,-0.19%
"Aug 17, 2021",1791.80,1791.90,1800.80,1786.80,1.70K,-0.13%
"Aug 16, 2021",1794.10,1784.90,1794.90,1780.00,0.34K,0.66%
"Aug 13, 2021",1782.40,1761.30,1785.50,1761.30,0.84K,1.50%
"Aug 12, 2021",1756.10,1756.70,1763.70,1748.90,1.80K,-0.09%
"Aug 11, 2021",1757.70,1737.00,1760.00,1735.40,1.48K,1.26%
"Aug 10, 2021",1735.90,1737.10,1742.80,1726.20,3.34K,0.29%
"Aug 09, 2021",1730.80,1762.80,1763.20,1682.40,3.10K,-2.06%
"Aug 06, 2021",1767.20,1805.20,1808.00,1764.50,2.08K,-2.52%
"Aug 05, 2021",1812.80,1816.30,1819.40,1804.50,0.36K,-0.30%
"Aug 04, 2021",1818.20,1821.00,1839.60,1813.40,1.09K,0.02%
"Aug 03, 2021",1817.90,1817.60,1819.40,1814.90,0.40K,-0.44%
"Aug 02, 2021",1825.90,1816.20,1826.80,1813.30,0.57K,0.28%
"Jul 30, 2021",1820.80,1835.70,1836.90,1818.00,0.91K,-1.01%
"Jul 29, 2021",1839.40,1820.00,1840.70,1820.00,0.73K,1.73%
"Jul 28, 2021",1808.10,1813.80,1813.90,1803.70,2.46K,0.04%
"Jul 27, 2021",1807.30,1806.40,1811.90,1803.10,0.92K,0.02%
"Jul 26, 2021",1806.90,1818.90,1818.90,1805.20,0.09K,-0.13%
"Jul 23, 2021",1809.30,1810.00,1810.20,1799.90,0.31K,-0.20%
"Jul 22, 2021",1812.90,1806.20,1813.80,1800.70,0.07K,0.10%
"Jul 21, 2021",1811.00,1811.90,1812.70,1802.60,0.21K,-0.43%
"Jul 20, 2021",1818.90,1824.80,1831.00,1817.00,0.23K,0.11%
"Jul 19, 2021",1816.90,1821.50,1823.30,1807.10,0.08K,-0.33%
"Jul 16, 2021",1823.00,1835.70,1835.70,1822.50,0.27K,-0.76%
"Jul 15, 2021",1836.90,1833.10,1841.10,1833.10,0.10K,0.21%
"Jul 14, 2021",1833.00,1830.00,1836.80,1828.80,1.63K,0.83%
"Jul 13, 2021",1817.90,1822.50,1825.10,1814.00,1.20K,0.23%
"Jul 12, 2021",1813.80,1817.30,1817.30,1802.00,0.98K,-0.26%
"Jul 09, 2021",1818.60,1805.80,1818.90,1805.80,1.33K,0.59%
"Jul 08, 2021",1807.90,1825.00,1825.00,1802.50,1.14K,-0.09%
"Jul 07, 2021",1809.60,1811.00,1812.80,1809.80,0.36K,0.43%
"Jul 06, 2021",1801.80,1795.20,1821.50,1794.10,0.43K,0.59%
"Jul 05, 2021",1791.30,1786.50,1794.65,1784.75,-,0.27%
"Jul 04, 2021",1786.40,1788.00,1788.00,1785.80,-,-0.26%
"Jul 02, 2021",1791.00,1790.30,1800.00,1789.60,0.68K,0.38%
"Jul 01, 2021",1784.30,1785.20,1785.20,1782.60,0.51K,0.28%
"Jun 30, 2021",1779.30,1764.00,1771.20,1764.00,0.19K,0.47%
"Jun 29, 2021",1771.00,1778.00,1778.00,1758.80,0.38K,-0.97%
"Jun 28, 2021",1788.30,1783.30,1783.30,1783.30,0.02K,0.16%
"Jun 25, 2021",1785.50,1793.00,1793.00,1788.10,0.22K,0.06%
"Jun 24, 2021",1784.40,1792.80,1792.80,1782.50,0.00K,-0.37%
"Jun 23, 2021",1791.10,1790.90,1800.00,1790.90,0.01K,0.34%
"Jun 22, 2021",1785.00,1792.80,1792.80,1785.00,0.04K,-0.31%
"Jun 21, 2021",1790.50,1777.80,1791.50,1777.80,0.24K,0.79%
"Jun 18, 2021",1776.50,1786.70,1800.40,1781.00,0.25K,-0.31%
"Jun 17, 2021",1782.00,1830.90,1830.90,1779.10,0.42K,-4.64%
"Jun 16, 2021",1868.70,1863.20,1871.20,1816.40,0.30K,0.27%
"Jun 15, 2021",1863.70,1875.20,1875.20,1861.50,0.06K,-0.51%
"Jun 14, 2021",1873.20,1875.00,1875.20,1858.60,0.10K,-0.73%
"Jun 11, 2021",1886.90,1898.80,1898.80,1885.70,0.03K,-0.89%
"Jun 10, 2021",1903.80,1896.70,1896.70,1885.50,0.04K,0.05%
"Jun 09, 2021",1902.90,1901.00,1901.70,1901.00,0.02K,0.06%
"Jun 08, 2021",1901.80,1905.70,1911.70,1900.70,0.03K,-0.23%
"Jun 07, 2021",1906.10,1895.30,1895.30,1895.30,0.12K,0.36%
"Jun 04, 2021",1899.20,1879.90,1896.50,1879.30,0.12K,0.99%
"Jun 03, 2021",1880.50,1913.50,1913.70,1875.80,0.33K,-1.91%
"Jun 02, 2021",1917.20,1904.30,1916.10,1903.80,0.28K,0.25%
"Jun 01, 2021",1912.50,1919.30,1919.30,1909.40,0.21K,0.07%
"May 31, 2021",1911.15,1906.80,1913.40,1904.85,-,0.23%
"May 30, 2021",1906.75,1907.60,1907.90,1906.10,-,-0.33%
"May 28, 2021",1913.10,1908.90,1909.20,1896.00,0.18K,0.34%
"May 27, 2021",1906.70,1907.00,1909.60,1897.70,0.02K,-0.23%
"May 26, 2021",1911.10,1917.50,1922.40,1904.70,0.05K,0.18%
"May 25, 2021",1907.70,1887.50,1910.00,1887.50,0.04K,0.72%
"May 24, 2021",1894.00,1891.70,1894.60,1891.70,0.02K,0.42%
"May 21, 2021",1886.00,1888.60,1895.10,1882.00,0.04K,-0.26%
"May 20, 2021",1891.00,1883.50,1889.70,1877.40,0.01K,0.02%
"May 19, 2021",1890.70,1876.70,1898.00,1861.80,0.12K,0.71%
"May 18, 2021",1877.30,1879.70,1879.70,1878.60,0.03K,0.03%
"May 17, 2021",1876.70,1854.50,1876.10,1854.50,0.64K,1.55%
"May 14, 2021",1848.10,1834.60,1849.20,1834.50,0.09K,0.77%
"May 13, 2021",1833.90,1824.00,1835.30,1818.00,0.01K,0.08%
"May 12, 2021",1832.40,1842.40,1842.70,1822.00,0.01K,-0.72%
"May 11, 2021",1845.70,1845.20,1845.20,1845.00,0.01K,-0.09%
"May 10, 2021",1847.40,1844.00,1849.10,1843.90,0.09K,0.34%
"May 07, 2021",1841.20,1830.50,1851.00,1828.50,0.16K,0.86%
"May 06, 2021",1825.50,1823.60,1824.30,1823.40,0.17K,1.73%
"May 05, 2021",1794.50,1789.10,1789.10,1789.10,0.16K,0.45%
"May 04, 2021",1786.40,1790.80,1806.70,1784.20,0.16K,-0.82%
"May 03, 2021",1801.20,1783.00,1783.00,1783.00,0.07K,1.36%
"Apr 30, 2021",1777.10,1775.60,1779.20,1773.70,0.00K,-0.03%
"Apr 29, 2021",1777.60,1770.10,1780.00,1770.10,0.01K,-0.33%
"Apr 28, 2021",1783.50,1775.40,1775.90,1775.40,0.01K,-0.27%
"Apr 27, 2021",1788.40,1789.00,1789.00,1785.80,0.01K,-0.07%
"Apr 26, 2021",1789.60,1789.60,1789.60,1789.60,0.02K,0.13%
"Apr 23, 2021",1787.20,1789.70,1789.70,1782.00,0.02K,-0.25%
"Apr 22, 2021",1791.70,1803.20,1803.40,1794.50,0.03K,-0.62%
"Apr 21, 2021",1802.90,1790.00,1790.10,1790.00,0.02K,0.83%
"Apr 20, 2021",1788.10,1787.80,1787.80,1787.80,0.00K,0.44%
"Apr 19, 2021",1780.30,1780.10,1783.00,1780.10,0.00K,-0.53%
"Apr 16, 2021",1789.70,1784.70,1784.70,1784.70,0.00K,0.75%
"Apr 15, 2021",1776.40,1776.00,1776.00,1776.00,0.00K,1.75%
"Apr 14, 2021",1745.80,1755.00,1755.60,1745.80,0.03K,-0.63%
"Apr 13, 2021",1756.90,1733.10,1754.60,1733.10,0.02K,0.86%
"Apr 12, 2021",1742.00,1740.40,1740.40,1740.40,0.01K,-0.68%
"Apr 09, 2021",1754.00,1755.10,1756.20,1755.10,0.01K,-0.75%
"Apr 08, 2021",1767.30,1757.30,1760.20,1757.30,0.00K,0.97%
"Apr 07, 2021",1750.30,1751.50,1751.50,1742.40,0.02K,-0.09%
"Apr 06, 2021",1751.80,1738.10,1748.50,1738.00,0.05K,0.81%
"Apr 05, 2021",1737.70,1737.20,1737.20,1737.20,0.01K,0.05%
"Apr 01, 2021",1736.80,1732.00,1739.90,1732.00,0.00K,0.75%
"Mar 31, 2021",1723.90,1688.40,1723.10,1688.40,0.02K,1.75%
"Mar 30, 2021",1694.30,1700.00,1700.00,1693.50,0.02K,-1.68%
"Mar 29, 2021",1723.30,1732.80,1732.80,1720.00,0.00K,-1.14%
"Mar 26, 2021",1743.20,1732.50,1740.50,1728.10,0.00K,0.41%
"Mar 25, 2021",1736.10,1745.10,1745.10,1745.10,0.01K,-0.46%
"Mar 24, 2021",1744.20,1742.40,1742.40,1742.20,0.00K,0.44%
"Mar 23, 2021",1736.50,1738.00,1738.00,1734.30,0.01K,-0.74%
"Mar 22, 2021",1749.40,1746.50,1746.50,1736.80,0.00K,-0.18%
"Mar 19, 2021",1752.60,1752.40,1752.40,1742.10,0.11K,0.52%
"Mar 18, 2021",1743.50,1744.70,1744.70,1744.70,0.00K,0.35%
"Mar 17, 2021",1737.50,1737.80,1750.40,1737.00,0.32K,-0.25%
"Mar 16, 2021",1741.80,1748.90,1748.90,1748.90,0.00K,0.09%
"Mar 15, 2021",1740.30,1737.50,1738.30,1733.60,0.23K,0.57%
"Mar 12, 2021",1730.50,1733.50,1733.50,1733.50,0.01K,-0.22%
"Mar 11, 2021",1734.40,1745.70,1745.70,1729.10,0.00K,0.03%
"Mar 10, 2021",1733.90,1726.60,1728.00,1723.70,0.40K,0.23%
"Mar 09, 2021",1729.90,1720.10,1728.60,1720.10,0.01K,2.27%
"Mar 08, 2021",1691.50,1718.50,1718.50,1687.20,0.25K,-1.25%
"Mar 05, 2021",1712.90,1700.00,1700.00,1700.00,0.00K,-0.08%
"Mar 04, 2021",1714.30,1723.50,1724.80,1704.00,0.01K,-0.86%
"Mar 03, 2021",1729.20,1728.80,1728.80,1728.80,0.00K,-1.01%
"Mar 02, 2021",1746.90,1737.20,1737.20,1727.90,0.00K,0.62%
"Mar 01, 2021",1736.20,1736.50,1736.60,1736.50,0.00K,-0.36%
"Feb 26, 2021",1742.50,1749.50,1750.10,1737.10,0.02K,-2.54%
"Feb 25, 2021",1787.90,1802.10,1802.10,1802.10,0.00K,-1.11%
"Feb 24, 2021",1808.00,1819.70,1819.70,1798.80,0.01K,-0.41%
"Feb 23, 2021",1815.50,1815.80,1815.80,1803.80,0.02K,-0.14%
"Feb 22, 2021",1818.00,1797.00,1819.00,1797.00,0.00K,1.68%
"Feb 19, 2021",1787.90,1777.20,1777.20,1777.20,0.00K,0.13%
"Feb 18, 2021",1785.60,1789.30,1789.30,1789.30,0.00K,0.10%
"Feb 17, 2021",1783.80,1780.00,1780.00,1780.00,0.00K,-1.46%
"Feb 16, 2021",1810.20,1819.80,1819.80,1808.20,0.02K,-0.47%
"Feb 15, 2021",1818.75,1820.90,1827.00,1815.60,-,-0.13%
"Feb 14, 2021",1821.05,1822.45,1826.30,1820.15,-,-0.72%
"Feb 12, 2021",1834.20,1835.80,1835.80,1835.80,0.00K,-0.22%
"Feb 11, 2021",1838.30,1845.00,1845.00,1845.00,0.00K,-0.85%
"Feb 10, 2021",1854.10,1865.50,1865.50,1853.50,0.01K,0.28%
"Feb 09, 2021",1848.90,1859.00,1859.00,1859.00,0.00K,0.21%
"Feb 08, 2021",1845.00,1830.80,1847.40,1830.80,0.00K,1.06%
"Feb 05, 2021",1825.60,1813.00,1823.80,1813.00,0.11K,1.23%
"Feb 04, 2021",1803.50,1829.00,1829.00,1826.70,0.01K,-2.39%
"Feb 03, 2021",1847.70,1845.50,1847.30,1845.50,0.15K,0.11%
"Feb 02, 2021",1845.70,1871.00,1871.00,1854.20,0.01K,-1.52%
"Feb 01, 2021",1874.10,1864.00,1874.20,1864.00,0.05K,0.64%
"Jan 29, 2021",1862.10,1870.50,1870.50,1870.50,0.01K,0.44%
"Jan 28, 2021",1853.90,1867.00,1867.00,1867.00,0.00K,-0.44%
"Jan 27, 2021",1862.10,1863.60,1863.60,1863.60,0.01K,-0.33%
"Jan 26, 2021",1868.20,1871.10,1871.10,1871.10,0.01K,-0.21%
"Jan 25, 2021",1872.20,1879.20,1879.20,1877.80,0.00K,-0.03%
"Jan 22, 2021",1872.80,1852.90,1869.70,1852.90,0.04K,-0.49%
"Jan 21, 2021",1882.10,1876.50,1879.40,1875.70,0.01K,-0.05%
"Jan 20, 2021",1883.10,1880.30,1880.30,1880.30,0.01K,1.37%
"Jan 19, 2021",1857.60,1838.80,1858.80,1825.50,0.09K,1.14%
"Jan 18, 2021",1836.60,1809.65,1839.45,1809.65,-,1.48%
"Jan 17, 2021",1809.75,1826.80,1829.10,1803.60,-,-2.13%
"Jan 15, 2021",1849.10,1847.80,1847.80,1847.80,0.01K,-1.22%
"Jan 14, 2021",1871.90,1856.60,1870.20,1856.60,0.15K,-0.19%
"Jan 13, 2021",1875.40,1875.10,1875.10,1871.20,0.25K,0.55%
"Jan 12, 2021",1865.10,1862.20,1866.00,1858.20,0.25K,-0.38%
"Jan 11, 2021",1872.30,1848.10,1867.80,1848.10,0.83K,0.83%
"Jan 08, 2021",1856.90,1935.80,1935.80,1850.00,0.00K,-4.06%
"Jan 07, 2021",1935.50,1944.20,1946.70,1932.50,0.00K,0.17%
"Jan 06, 2021",1932.30,1971.70,1971.70,1971.70,0.01K,-2.29%
"Jan 05, 2021",1977.60,1965.30,1975.50,1965.30,0.00K,0.42%
"Jan 04, 2021",1969.40,1934.70,1967.80,1934.70,0.34K,3.57%
"Jan 01, 2021",1901.60,1901.60,1901.60,1901.60,-,-0.79%
"Dec 31, 2020",1916.70,1919.90,1919.90,1919.90,0.00K,0.11%
"Dec 30, 2020",1914.50,1913.90,1913.90,1913.90,0.12K,0.59%
"Dec 29, 2020",1903.20,1893.20,1900.30,1890.50,0.00K,0.15%
"Dec 28, 2020",1900.40,1900.80,1912.00,1885.80,0.15K,-0.13%
"Dec 24, 2020",1902.80,1888.90,1897.00,1886.90,0.08K,0.31%
"Dec 23, 2020",1897.00,1887.60,1897.00,1887.60,0.01K,0.41%
"Dec 22, 2020",1889.20,1898.40,1898.40,1898.40,0.00K,-0.62%
